,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
469,61g,531kcal,30g,,18g,57g,6.5g,30mg,,Guittard Extra Dark Choc Baking Chips,,,,,,,,,,,,,,,,,,,,,,,,
470,59.9g,539kcal,30.4g,0.0g,18.3g,59.5g,6.5g,0.23g,,Cook's Ingredients White Chunks,,,,,,,,,,,,,,,,,,,,,,,,
471,39.3g,538kcal,40.6g,,24.8g,27.9g,8.0g,<0.1g,,WCacao 70% Dark Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
472,83.7g,444kcal,12.0g,0.0g,7.3g,67.8g,<0.5g,0.25g,,Cooks' Homebaking Honeycomb Niblets,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,Willie's cacao Venezuelan black,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,Willie's Cacao Peruvian Black,,,,,,,,,,,,,,,,,,,,,,,,
475,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Red Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
476,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Natural Blue Colour,,,,,,,,,,,,,,,,,,,,,,,,
477,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Green Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
478,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Yellow Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
479,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Essential Pink Food Colour,,,,,,,,,,,,,,,,,,,,,,,,
480,0.0g,0kcal,0.0g,0.0g,0.0g,0.0g,0.0g,0.0g,,Cooks' Homebaking Coconut Flavouring,,,,,,,,,,,,,,,,,,,,,,,,
481,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Red Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
482,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Green Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
483,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Purple Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
484,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Black Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
485,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Pink Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
486,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Blue Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
487,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Orange Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
488,70.6g,292kcal,0.7g,0.6g,0.3g,47.9g,<0.5g,0.10g,,Cooks' Ingredients Yellow Gel Colouring,,,,,,,,,,,,,,,,,,,,,,,,
489,2.0g,28kcal,0.0g,0.5g,0.0g,2.0g,<0.5g,0.01g,,Cooks' Homebaking Sicilian Lemon Juice,,,,,,,,,,,,,,,,,,,,,,,,
490,3.8g,39kcal,2.6g,0.0g,1.0g,0.6g,0.0g,0.0g,,Cooks' Ingredients Vanilla Extract,,,,,,,,,,,,,,,,,,,,,,,,
491,1.0g,28kcal,<0.5g,0.6g,0.0g,0.8g,<0.5g,0.0g,,Essential Lime Juice,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,Nielsen-Massey Vanilla Extract,,,,,,,,,,,,,,,,,,,,,,,,
493,47g,226kcal,0g,,0g,47g,0g,0g,,Taylor & Colledge Vanilla Bean Paste,,,,,,,,,,,,,,,,,,,,,,,,
494,6.9g,31kcal,<0.5g,<0.5g,<0.1g,2.4g,<0.5g,<0.01g,,Jif Lemon,,,,,,,,,,,,,,,,,,,,,,,,
