,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
1025,3.9g,654kcal,72g,<0.5g,5.3g,2.7g,<0.5g,1.5g,,Hellmann's Vegan Mayo,,,,,,,,,,,,,,,,,,,,6.6g,,,14g,
1026,3.0g,644kcal,70g,,5.3g,1.5g,0.8g,1.0g,,Heinz Seriously Good Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1027,6g,264kcal,26g,,2.6g,2.3g,<0.5g,1.7g,,Hellmann's light mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1028,3.3g,694kcal,75.1g,0.0g,5.3g,1.4g,1.3g,0.87g,,Essential Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1029,14.4g,510kcal,48.7g,3.6g,8.7g,2.9g,1.8g,1.8g,,Yo! Creamy Japanese Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1030,23.7g,219kcal,13.0g,1.0g,1.0g,20.8g,0.9g,2.0g,,Heinz Sandwich Spread,,,,,,,,,,,,,,,,,,,,,,,,
1031,6.1g,267kcal,27g,,2.6g,2.3g,0.7g,1.7g,,Hellmann's Light Mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1032,3.4g,699kcal,75.9g,0.0g,5.4g,1.8g,0.7g,0.83g,,Waitrose mayonnaise with olive oil,,,,,,,,,,,,,,,,,,,,,,,,
1033,0.1,761kcal,83.7,,8.1,0.0,1.5,1.0,,Dr Will's Classic Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1034,1.4g,726kcal,79g,,6.3g,1.3g,1.1g,1.5g,,Hellmann's real mayonnaise,,,,,,,,,,,,,,,,,,,,6.3g,,,,
1035,17.3g,426kcal,38.5g,1.8g,5.8g,7.1g,1.7g,3.6g,,Yo! Spicy Sriracha Chilli Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1036,1.3g,721kcal,79g,,6.2g,1.3g,1.1g,1.5g,,Hellmann's real mayonnaise,,,,,,,,,,,,,,,,,,,,7.0g,,,,
1037,7.0g,659kcal,69.8g,0.0g,5.4g,5.3g,0.8g,1.00g,,Waitrose garlic mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1038,3.4g,699kcal,75.9g,0.0g,5.4g,1.8g,0.7g,0.83g,,Waitrose mayonnaise with olive oil,,,,,,,,,,,,,,,,,,,,,,,,
1039,0.6,700kcal,76.7,,7.4,0.5,1.6,0.9,,Dr Will's Chilli Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1040,3.3g,694kcal,75.1g,0.0g,5.3g,1.4g,1.3g,0.87g,,Essential Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1041,6.1g,264kcal,26g,,2.6g,2.3g,<0.5g,1.7g,,Hellmann's light mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1042,0.9g,682kcal,74.8g,,4.9g,0.3g,0.3g,1.0g,,Rubies Vegan Plant Based Chilli Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1043,8.2g,661kcal,69.5g,0.0g,4.7g,6.4g,0.7g,1.0g,,Waitrose lemon mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1044,3.7g,676kcal,73.1g,0.0g,4.8g,2.4g,0.9g,1.08g,,Waitrose mustard mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1045,"0,6",741Kcal,81g,,"10,2","0,3",2g,"1,7",,Delouis Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1046,3.3g,694kcal,75.1g,0.0g,5.3g,1.4g,1.3g,0.87g,,Essential Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1047,6g,264kcal,26g,,2.6g,2.3g,<0.5g,1.7g,,Hellmann's light mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1048,3.0g,644kcal,70g,,5.3g,1.5g,0.8g,1.0g,,Heinz Seriously Good Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1049,10.4g,322kcal,30.7g,0.0g,2.2g,5.4g,1.0g,0.89g,,Essential Half Fat Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1050,2.8g,623kcal,67.8g,,4.8g,1.6g,0.4g,1.07g,,Rubies Vegan Plant Based Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1051,0.5g,686Kcal,75g,,9.2g,0.3g,1.8g,1.6g,,Delouis Sauce Aioli,,,,,,,,,,,,,,,,,,,,,,,,
1052,0.3,717kcal,79,0.1,8.7,0.1,1.8,1.0,,The Foraging Fox Avocado & Lemon Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1053,3.8g,250kcal,26g,,4.0g,3.0g,0.6g,1.7g,,Heinz Seriously Good Light Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1054,9.3g,72kcal,2.9g,,0.7g,4.2g,0.7g,1.7g,,Hellmann's lighter light mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1055,8.9g,318kcal,31.1g,0.0g,2.3g,5.6g,0.8g,1.1g,,Essential Half Fat Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1056,6.1g,269kcal,27g,<0.5g,2.6g,2.3g,0.7g,1.7g,,Hellmann's Garlic Mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,4.8g,
1057,3.9g,654kcal,72g,<0.5g,5.3g,2.7g,<0.5g,1.5g,,Hellmann's Vegan Mayo,,,,,,,,,,,,,,,,,,,,6.6g,,,14g,
1058,3.7g,649kcal,70g,,8.9g,2.4g,0.9g,1.0g,,Heinz Seriously Good Truffle Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1059,6g,264kcal,26g,,2.6g,2.3g,<0.5g,1.7g,,Hellmann's light mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1060,,,,,,,,,,Marine Gourmet French rouille,,,,,,,,,,,,,,,,,,,,,,,,
1061,3.4g,651kcal,70g,,8.7g,2.5g,1.0g,1.1g,,Heinz Garlic & Onion Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1062,9.5g,68kcal,2.9g,0.6g,0.7g,4.2g,0.7g,1.7g,,Hellmann's Lighter Mayonnaise,,,,,,,,,,,,,,,,,,,,0.15g,,,0.32g,
1063,4.1g,477kcal,51g,,5.4g,1.6g,0.3g,1.5g,,Mr Organic Vegan Free From Mayo,,,,,,,,,,,,,,,,,,,,,,,,
1064,3.5g,733kcal,79g,,5.7g,3.2g,2g,1.4g,,Tiptree Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1065,7.4g,274kcal,27g,,2.6g,3.4g,0.8g,1.8g,,Hellmann's Chilli Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1066,1.6g,708kcal,77g,,8.2g,1.4g,1.2g,1.3g,,Hellmann's Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1067,3.1g,659kcal,70.9g,0.1g,5.1g,1.7g,2.0g,0.6g,,Hillfarm Garlic Mayonnaise,,,,,,,,,,,,,,,,20.1g,,,,8.0g,,,12.1g,43.4g
1068,20.3g,303kcal,23.7g,,1.8g,17.2g,1.3g,1.5g,,Heinz Salad Cream Original,,,,,,,,,,,,,,,,,,,,,,,,
1069,3.3g,415kcal,44g,0.3g,3.2g,3.0g,0.7g,2.3g,,Pizza Express house dressing,,,,,,,,,,,,,,,,,,,,,,,,
1070,4.3g,300kcal,30g,0.3g,2.3g,4.0g,0.7g,2.3g,,Pizza Express light dressing,,,,,,,,,,,,,,,,,,,,,,,,
1071,2.3g,631kcal,68.2g,,4.6g,2.3g,1.8g,1.1g,,Farrington's Classic Vinaigrette,,,,,,,,,,,,,,,,17.8g,,,,6.6g,,,,
1072,6.7g,359kcal,35g,0.3g,3.9g,6.4g,3.3g,2.3g,,Pizza Express Caesar Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1073,20.7g,311kcal,24.5g,0.7g,2.5g,17.0g,1.5g,1.2g,,Essential Squeezy Salad Cream,,,,,,,,,,,,,,,,,,,,,,,,
1074,4.6g,278kcal,28.5g,0.5g,1.8g,4.1g,0.6g,1.6g,,Essential French Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1075,17.4g,433kcal,39.4g,1.8g,4.0g,15.3g,1.4g,1.15g,,Waitrose honey & mustard dressing,,,,,,,,,,,,,,,,,,,,,,,,
1076,14.0g,221kcal,16.3g,,1.4g,10.4g,1.3g,1.5g,,Heinz salad cream 30% less fat,,,,,,,,,,,,,,,,,,,,,,,,
1077,4.9g,297kcal,30g,0.5g,2.1g,3.9g,0.2g,1.3g,,Pizza Express Vegan House Light Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1078,11.7g,588kcal,58.8g,,3.9g,10.1g,2.6g,0.4g,,Farrington's Honey & Mustard Dressing,,,,,,,,,,,,,,,,15.3g,,,,5.6g,,,,
1079,"11,2g",120kcal,"7,1g","0,5g","0,8g","8,0g","1,8g","1,5g",,Heinz salad cream 70% reduced fat,,,,,,,,,,,,,,,,,,,,,,,,
1080,18g,437kcal,39g,0.9g,2.8g,17g,1.4g,2.2g,,Pizza Express honey & mustard dressing,,,,,,,,,,,,,,,,,,,,,,,,
1081,20.3g,303kcal,23.7g,,1.8g,17.2g,1.3g,1.5g,,Heinz salad cream,,,,,,,,,,,,,,,,,,,,,,,,
1082,1.4g,608kcal,65.9g,0.3g,5.2g,0.3g,2.3g,2.1g,,Cardini's Caesar original dressing,,,,,,,,,,,,,,,,,,,,,,,,
1083,11.6g,533kcal,53.4g,,3.6g,10.9g,1.6g,0.8g,,Farrington Balsamic Vinegar Dressing,,,,,,,,,,,,,,,,13.9g,,,,5.1g,,,,
1084,14g,230kcal,19g,0.6g,1.7g,14g,0.8g,1.1g,,Mary Berry's Light Salad Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1085,25.5g,594kcal,54.4g,0g,6.6g,13.3g,0.7g,1.30g,,Waitrose Italian dressing,,,,,,,,,,,,,,,,,,,,,,,,
1086,5.5g,367kcal,38.3g,<1.0g,4.8g,1.2g,0.3g,1.90g,,Newman's Own Italian dressing,,,,,,,,,,,,,,,,,,,,,,,,
1087,10.2g,447kcal,45.3g,1.2g,4.2g,8.9g,0.2g,1.40g,,Newman's Own French dressing,,,,,,,,,,,,,,,,,,,,,,,,
1088,9.6g,598kcal,61.2g,1.7g,5.3g,6.9g,1.4g,3.65g,,Waitrose blue cheese dressing,,,,,,,,,,,,,,,,,,,,,,,,
1089,6.8g,1796kJ,44.5g,1.2g,3.6g,4.6g,1.1g,1.32g,,Lucy's Green Pesto Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1090,8.9g,531kcal,54.6g,0.6g,3.7g,6.3g,0.7g,1.3g,,Essential Thousand Island,,,,,,,,,,,,,,,,,,,,,,,,
1091,19.6g,95kcal,1.5g,0.5g,0.1g,19.3g,0.6g,1.9g,,Essential Low Fat Vinaigrette,,,,,,,,,,,,,,,,,,,,,,,,
1092,15.3g,218kcal,16.3g,,1.4g,10.1g,1.4g,1.5g,,Heinz Salad Cream 30% Less Fat,,,,,,,,,,,,,,,,,,,,,,,,
1093,9.7g,362kcal,35.9g,<1.0g,4.6g,4.1g,0.4g,1.35g,,Newman's Own balsamic dressing,,,,,,,,,,,,,,,,,,,,,,,,
1094,26.7g,500kcal,46.7g,,3.3g,23.3g,<0.5g,1.4g,,Briannas Honey Mustard,,,,,,,,,,,,,,,,,,,,,,,,
1095,11.2g,538kcal,53.9g,0.5g,5.8g,9.0g,1.8g,1.55g,,Waitrose Caesar dressing,,,,,,,,,,,,,,,,,,,,,,,,
1096,21g,402kcal,35g,0.2g,2.4g,20g,0.7g,1.2g,,Mary Berry's Salad Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1097,11g,48kcal,<0.5g,0.6g,<0.1g,11g,<0.5g,0.88g,,Hellmann's Fat Free Vinaigrette,,,,,,,,,,,,,,,,,,,,,,,,
1098,16.7g,400kcal,36.7g,,5.0g,13.3g,3.3g,2g,,Briannas Blue Cheese Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1099,19g,165kcal,10g,1.4g,3.0g,15g,<0.5g,0.83g,,Mary Berry's Mango Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1100,3.1g,429kcal,45.2g,0.5g,3.8g,2.0g,2.3g,2.1g,,Cardini's light Caesar dressing,,,,,,,,,,,,,,,,,,,,,,,,
1101,9.5g,417kcal,41.7g,0.5g,3.1g,4.9g,1.0g,2.29g,,Newman's Own Ranch Dressing & Dip,,,,,,,,,,,,,,,,,,,,,,,,
1102,12g,252kcal,22g,,1.8g,9.1g,1.1g,1.5g,,Hellmann's Honey & Mustard Dressing,,,,,,,,,,,,,,,,,,,,,,,,
1103,24g,243kcal,17g,1.6g,1.4g,19g,<0.5g,1.6g,,Mary Berry's Honey & Balsamic Vinaigrette,,,,,,,,,,,,,,,,,,,,,,,,
1104,12g,245kcal,21g,,1.7g,8.7g,0.9g,1.4g,,Hellmann's Thousand Island,,,,,,,,,,,,,,,,,,,,,,,,
1105,7.7g,36kcal,<0.5g,0.7g,<0.1g,7.1g,<0.5g,0.83g,,Hellmann's Fat Free Garlic & Chive,,,,,,,,,,,,,,,,,,,,,,,,
1106,1.1g,45kcal,3.4g,,0.3g,1g,0.7g,6g,,Nando's Medium Peri-Peri Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1107,17.4,91kcal,0.7,,0.1,14.1,2.3,0.6,,Dr Will's Barbecue Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1108,8.1g,82kcal,4.2g,,0.4g,7.9g,1.4g,2.2g,,Nando's Medium Peri-Peri Marinade,,,,,,,,,,,,,,,,,,,,,,,,
1109,31.5g,133kcal,Trace,,Trace,25.5g,0.5g,1.4g,,HP BBQ Sauce Classic Woodsmoke,,,,,,,,,,,,,,,,,,,,,,,,
1110,5.9g,63kcal,3.6g,,0.3g,5.4g,0.5g,1.5g,,Nando's Lemon Peri-Peri Marinade,,,,,,,,,,,,,,,,,,,,,,,,
1111,7.3g,91kcal,5.4g,,1.1g,7g,1.6g,1.6g,,Nando's Hot Peri-Peri Marinade,,,,,,,,,,,,,,,,,,,,,,,,
1112,22.2g,109kcal,0.1g,4.3g,0.1g,21.9g,2.6g,4.13g,,Yo! Sticky BBQ Yakitori,,,,,,,,,,,,,,,,,,,,,,,,
1113,32g,138kcal,0g,,0g,29g,0.9g,1.2g,,Heinz Barbecue Sauce & Marinade,,,,,,,,,,,,,,,,,,,,,,,,
1114,30.6g,129kcal,Trace,,Trace,24.2g,0.5g,1.4g,,HP honey bbq sauce,,,,,,,,,,,,,,,,,,,,,,,,
1115,12g,375kcal,36g,,3.1g,9.3g,1.0g,2.1g,,Heinz American Style Burger Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1116,32g,137kcal,0.1g,,0.0g,29g,1g,1.08g,,Levi Roots Reggae Reggae Jerk BBQ,,,,,,,,,,,,,,,,,,,,,,,,
1117,39.0g,167kcal,0.8g,2.5g,0.2g,27.8g,0.9g,3.30g,,Newman's Own sticky BBQ marinade,,,,,,,,,,,,,,,,,,,,,,,,
1118,38g,160kcal,0.2g,,0g,33g,1.3g,2.5g,,Bullseye Original BBQ Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1119,10g,232kcal,20.97g,0.6g,1.69g,5.99g,0.95g,1.84g,,Hellmann's Chunky Burger Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1120,41.3g,172kcal,0.1g,0.7g,0.0g),37.0g),0.6g,1.9g,,Jack Daniel's Smokey Barbecue,,,,,,,,,,,,,,,,,,,,,,,,
1121,23g,103kcal,0g,,0g,15g,1.4g,2.0g,,Stubb's Original Bar-B-Q Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1122,37g,160kcal,0.2g,,0g,32g,1.3g,1.7g,,Bull's Eye Roasted Onion BBQ Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1123,2.4g,43kcal,2.8g,,0.3g,2.2g,0.9g,5.9g,,Nando's Peri-Peri Hot,,,,,,,,,,,,,,,,,,,,,,,,
1124,1.1g,45kcal,3.4g,,0.3g,1g,0.7g,6g,,Nando's Peri-Peri Medium,,,,,,,,,,,,,,,,,,,,,,,,
1125,5.9g,26kcal,0g,,0g,4.6g,1g,4.5g,,Stubb's Hickory Liquid Smoke,,,,,,,,,,,,,,,,,,,,,,,,
1126,42g,175kcal,0g,,0g,35g,1.0g,1.8g,,Stubb's sticky sweet Bar-B-Q Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1127,43.6g,184kcal,0.6g,1.3g,<0.1g,43.2g,0.5g,3.3g,,Blue Dragon Sweet Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1128,1.6g,16kcal,0.7g,1.3g,0.2g,<0.1g,1.0g,1.8g,,Tabasco pepper sauce,,,,,,,,,,,,,,,,,,,,,,,,
1129,30g,122kcal,0g,,0g,28g,0g,2.9g,,Thai Taste Sweet Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1130,18g,95kcal,1.7g,1.4g,0.4g,18g,1.3g,5.1g,,Uni-Eagle Sriracha Hot Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1131,33g,135kcal,<0.5g,,<0.1g,28g,<0.5g,2.9g,,Blue Dragon Light Sweet Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1132,1.8g,11kcal,<0.1g,1.2g,<0.1g,<0.1g,0.6g,7.4g,,Tabasco mild green pepper sauce,,,,,,,,,,,,,,,,,,,,,,,,
1133,55.1g,230kcal,0.7g,1.6g,<0.1g,54.7g,0.6g,4.3g,,Blue Dragon Original Sweet Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1134,17.6g,177kcal,10.7g,2.0g,0.6g,10.5g,1.6g,1.86g,,Yo! Hot & Spicy Katsu Curry Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1135,1.1g,21kcal,0.9g,,0.2g,0.7g,0.9g,7.8g,,Encona Hot Pepper Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1136,55.1g,226kcal,0.2g,0.8g,<0.1g,52.7g,0.6g,2.93g,,Cooks' ingredients sweet chilli sauce,,,,,,,,,,,,,,,,,,,,,,,,
1137,27g,121kcal,0g,,0g,19g,"2,1g","6,7g",,Tabasco Sriracha,,,,,,,,,,,,,,,,,,,,,,,,
1138,37g,154kcal,<0.5g,,0.1g,34g,<0.5g,2.8g,,Encona Thai Sweet Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1139,23.0g,100kcal,<0.1g,2.4g,<0.1g,21.0g,1.5g,6.0g,,Tabasco habanero sauce,,,,,,,,,,,,,,,,,,,,,,,,
1140,2.4g,43kcal,2.8g,,0.3g,2.2g,0.9g,5.9g,,Nando's Hot Peri-Peri Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1141,10.0g,51kcal,0.5g,2.1g,0.1g,7.2g,1.3g,5.8g,,Tabasco Chipotle pepper sauce,,,,,,,,,,,,,,,,,,,,,,,,
1142,1.2g,42kcal,3.5g,,0.4g,1.1g,0.6g,2.6g,,Nando's Lemon Peri-Peri Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1143,"0,4g",19kcal,"0,9g","2,8g",0g,0g,"0,9g","5,3g",,Cholula hot sauce original,,,,,,,,,,,,,,,,,,,,,,,,
1144,4.2g,49kcal,3g,,0.3g,4.1g,0.8g,5.1g,,Nando's Garlic Peri-Peri Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1145,14g,75kcal,0.8g,,0.4g,13g,1.5g,2.9g,,Encona Carolina Reaper Chilli Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1146,2.4g,25kcal,<0.5g,,<0.1g,<0.5g,1.3g,6.2g,,Encona Extra Hot Pepper Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1147,1.8g,25kcal,0.6g,1.5g,0.1g,0.3g,2.5g,8.4g,,Frank's Red Hot Original Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1148,2g,30kcal,1.5g,2.5g,0.2g,0g,0.8g,6.5g,,Frank's redhot buffalo wings sauce,,,,,,,,,,,,,,,,,,,,,,,,
1149,"7,3g",44kcal,"0,8g","1,7g",0g,"4,8g","1,0g","4,5g",,Cholula hot sauce chipotle,,,,,,,,,,,,,,,,,,,,,,,,
1150,46g,185kcal,0.1g,,Trace,41g,0.3g,1.4g,,Heinz sweet chilli,,,,,,,,,,,,,,,,,,,,,,,,
1151,28.2g,133kcal,0.9g,2.5g,0.2g,24.4g,1.8g,6.42g,,Cooks' Ingredients Sriracha,,,,,,,,,,,,,,,,,,,,,,,,
1152,1.8g,25kcal,0.6g,1.5g,0.1g,0.3g,2.5g,8.4g,,Frank's Redhot Original PepperSauce,,,,,,,,,,,,,,,,,,,,,,,,
1153,1.8g,23kcal,0.8g,,0.1g,0.7g,1.2g,9.2g,,Frank's Red Hot Chilli & Lime Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1154,59.1g,242kcal,,0.1g,0.1g,59.1g,0.7g,0.39g,,Waitrose red onion chutney,,,,,,,,,,,,,,,,,,,,,,,,
1155,11g,50kcal,<0.5g,2.2g,<0.1g,11g,0.8g,2.3g,,Vadasz Garlic & Dill Pickles,,,,,,,,,,,,,,,,,,,,,,,,
1156,12.2g,65kcal,0.5g,0.6g,0.0g,7.8g,0.8g,2.4g,,Essential Sweet Piccalilli,,,,,,,,,,,,,,,,,,,,,,,,
1157,9.1g,56kcal,0.8g,1.1g,<0.1g,6.6g,0.8g,2.33g,,Essential Mustard Piccalilli,,,,,,,,,,,,,,,,,,,,,,,,
1158,52.0g,209kcal,0.1g,,0.05g,41.1g,0.4g,1.2g,,Stokes Sticky Pickle,,,,,,,,,,,,,,,,,,,,,,,,
1159,54g,221kcal,0.6g,,0.1g,50g,0.9g,1.20g,,EPC caramelised red onion chutney,,,,,,,,,,,,,,,,,,,,,,,,
1160,45.4g,195kcal,0.6g,1.4g,0.1g,45.0g,1.2g,2.1g,,Waitrose Tomato Chutney,,,,,,,,,,,,,,,,,,,,,,,,
1161,44.5g,187kcal,0.2g,0.9g,0.0g,44.0g,0.9g,0.2g,,Tracklements Fresh Chilli Jam,,,,,,,,,,,,,,,,,,,,,,,,
1162,42.2g,184kcal,1.1g,1.6g,0.6g,42.1g,0.6g,0.19g,,Waitrose Rhubarb Apple Ginger Chutney,,,,,,,,,,,,,,,,,,,,,,,,
1163,33.7g,143kcal,<0.5g,2.4g,0.0g,28.2g,0.6g,1.0g,,Waitrose Ploughman's Pickle,,,,,,,,,,,,,,,,,,,,,,,,
1164,14.3g,81kcal,1.9g,1.6g,0.4g,11.5g,0.8g,1.75g,,Waitrose piccalilli,,,,,,,,,,,,,,,,,,,,,,,,
1165,43.6g,191kcal,1.0g,1.7g,0.1g,42.5g,1.1g,1.25g,,Waitrose piri piri chutney,,,,,,,,,,,,,,,,,,,,,,,,
1166,61.1g,258kcal,<0.5g,2.8g,0.1g,59.9g,1.4g,0.25g,,Waitrose onion garlic chutney,,,,,,,,,,,,,,,,,,,,,,,,
1167,7.6g,65kcal,2.2g,2.7g,0.2g,6.5g,3.0g,2.7g,,Tracklements piccalilli,,,,,,,,,,,,,,,,,,,,,,,,
1168,65.6g,282kcal,1.2g,1.7g,0.2g,64.2g,0.8g,0.1g,,Tracklements Onion Marmalade,,,,,,,,,,,,,,,,,,,,,,,,
1169,17g,78kcal,1.1g,,0.1g,14g,2.2g,1.4g,,The Bay Tree piccalilli,,,,,,,,,,,,,,,,,,,,,,,,
1170,50.6g,213kcal,0.1g,2.2g,0g,49.8g,1.3g,0.09g,,Waitrose DUCHY beetroot relish,,,,,,,,,,,,,,,,,,,,,,,,
1171,25.1g,110kcal,0.3g,1.2g,<0.1g,22.8g,1.1g,1.6g,,French's jalapeño tomato relish,,,,,,,,,,,,,,,,,,,,,,,,
1172,39.0g,165kcal,0.1g,1.7g,0.0g,38.3g,0.7g,1.6g,,Tracklements Apple & Cider Chutney,,,,,,,,,,,,,,,,,,,,,,,,
1173,26.8g,122kcal,0.6g,1.8g,0.1g,25.2g,1.5g,2.1g,,Gourmet Burger House Relish,,,,,,,,,,,,,,,,,,,,,,,,
1174,46.9g,217kcal,0.9g,6.0g,0.3g,46.5g,1.9g,0.1g,,Tracklements fig relish,,,,,,,,,,,,,,,,,,,,,,,,
1175,8.3g,337kcal,29.4g,,14.5g,2.9g,9.5g,15.5g,,Patum Peperium The Poacher's Relish,,,,,,,,,,,,,,,,,,,,,,,,
1176,22.4g,98kcal,0.1g,1.7g,0.0g,15.7g,1.2g,1.8g,,Gourmet Burger Chilli Relish,,,,,,,,,,,,,,,,,,,,,,,,
1177,52.0g,209kcal,0.1g,,0.05g,41.1g,0.4g,1.2g,,Stokes sticky pickle,,,,,,,,,,,,,,,,,,,,,,,,
